product_id,price,open_24h,volume_24h,low_24h,high_24h,best_bid,best_ask,time,ingested_at
SOL-USD,80.64,81.92,1495536.11120368,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.201036+00:00,2026-04-07T19:24:56.316869
SOL-USD,80.64,81.92,1495538.07298815,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.203736+00:00,2026-04-07T19:24:56.329919
SOL-USD,80.64,81.92,1495539.76366709,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.206889+00:00,2026-04-07T19:24:56.342247
SOL-USD,80.64,81.92,1495540.91686526,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.209461+00:00,2026-04-07T19:24:56.351178
SOL-USD,80.64,81.92,1495541.70004606,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.210553+00:00,2026-04-07T19:24:56.364004
SOL-USD,80.64,81.92,1495542.62830437,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.211145+00:00,2026-04-07T19:24:56.368044
SOL-USD,80.64,81.92,1495543.90946385,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.213505+00:00,2026-04-07T19:24:56.373241
SOL-USD,80.64,81.92,1495545.17468334,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.215409+00:00,2026-04-07T19:24:56.377662
SOL-USD,80.64,81.92,1495547.02888225,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.219069+00:00,2026-04-07T19:24:56.380731
SOL-USD,80.64,81.92,1495548.08012798,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.220743+00:00,2026-04-07T19:24:56.384779
SOL-USD,80.64,81.92,1495548.13767007,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.220743+00:00,2026-04-07T19:24:56.389681
SOL-USD,80.64,81.92,1495549.36131032,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.222312+00:00,2026-04-07T19:24:56.394314
SOL-USD,80.64,81.92,1495556.32552196,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.223562+00:00,2026-04-07T19:24:56.395894
SOL-USD,80.64,81.92,1495557.9205666,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.226320+00:00,2026-04-07T19:24:56.402212
BTC-USD,68586.91,69727.98,7965.6152813,67710.01,69997.76,68586.9,68586.91,2026-04-07 19:24:56.381710+00:00,2026-04-07T19:24:56.436716
BTC-USD,68586.91,69727.98,7965.61628111,67710.01,69997.76,68586.9,68586.91,2026-04-07 19:24:56.408153+00:00,2026-04-07T19:24:56.462852
BTC-USD,68586.91,69727.98,7965.6181983,67710.01,69997.76,68586.9,68586.91,2026-04-07 19:24:56.408153+00:00,2026-04-07T19:24:56.465379
BTC-USD,68586.9,69727.98,7965.61819841,67710.01,69997.76,68586.9,68586.91,2026-04-07 19:24:56.504634+00:00,2026-04-07T19:24:56.558703
BTC-USD,68586.9,69727.98,7965.61819845,67710.01,69997.76,68586.9,68586.91,2026-04-07 19:24:56.522675+00:00,2026-04-07T19:24:56.580931
SOL-USD,80.64,81.92,1495564.12096342,78.36,82.16,80.63,80.65,2026-04-07 19:24:56.589791+00:00,2026-04-07T19:24:56.643801
SOL-USD,80.64,81.92,1495567.92770643,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.592892+00:00,2026-04-07T19:24:56.646342
BTC-USD,68586.91,69727.98,7965.6183904,67710.01,69997.76,68586.9,68586.91,2026-04-07 19:24:56.600904+00:00,2026-04-07T19:24:56.660081
BTC-USD,68586.91,69727.98,7965.61839041,67710.01,69997.76,68586.9,68591.55,2026-04-07 19:24:56.601843+00:00,2026-04-07T19:24:56.662903
ETH-USD,2095.95,2144.29,192381.53204795,2059.82,2155.73,2095.95,2095.96,2026-04-07 19:24:56.938001+00:00,2026-04-07T19:24:56.990939
BTC-USD,68592.66,69727.98,7965.61839044,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:56.989228+00:00,2026-04-07T19:24:57.042819
ETH-USD,2095.92,2144.29,192381.67113325,2059.82,2155.73,2095.91,2095.92,2026-04-07 19:24:57.430784+00:00,2026-04-07T19:24:57.484093
SOL-USD,80.65,81.92,1495567.99833298,78.36,82.16,80.64,80.65,2026-04-07 19:24:57.444803+00:00,2026-04-07T19:24:57.497049
BTC-USD,68592.66,69727.98,7965.61839047,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:57.455733+00:00,2026-04-07T19:24:57.510040
ETH-USD,2095.92,2144.29,192381.90736725,2059.82,2155.73,2095.91,2095.92,2026-04-07 19:24:57.509973+00:00,2026-04-07T19:24:57.561283
ETH-USD,2095.92,2144.29,192381.91209062,2059.82,2155.73,2095.91,2095.92,2026-04-07 19:24:57.573240+00:00,2026-04-07T19:24:57.625060
BTC-USD,68592.67,69727.98,7965.61839057,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:57.626903+00:00,2026-04-07T19:24:57.681543
SOL-USD,80.65,81.92,1495568.13137631,78.36,82.16,80.64,80.65,2026-04-07 19:24:57.812013+00:00,2026-04-07T19:24:57.870473
SOL-USD,80.65,81.92,1495568.48958717,78.36,82.16,80.64,80.65,2026-04-07 19:24:57.812013+00:00,2026-04-07T19:24:57.873319
SOL-USD,80.65,81.92,1495578.496727,78.36,82.16,80.64,80.65,2026-04-07 19:24:57.884472+00:00,2026-04-07T19:24:57.937561
BTC-USD,68592.67,69727.98,7965.61918458,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:57.885314+00:00,2026-04-07T19:24:57.941163
BTC-USD,68592.67,69727.98,7965.61932895,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:57.888613+00:00,2026-04-07T19:24:57.944389
SOL-USD,80.65,81.92,1495603.824403,78.36,82.16,80.64,80.65,2026-04-07 19:24:57.896882+00:00,2026-04-07T19:24:57.969507
ETH-USD,2095.92,2144.29,192381.92114384,2059.82,2155.73,2095.91,2095.92,2026-04-07 19:24:57.903778+00:00,2026-04-07T19:24:57.971845
SOL-USD,80.65,81.92,1495603.82440382,78.36,82.16,80.64,80.66,2026-04-07 19:24:57.918170+00:00,2026-04-07T19:24:57.975226
SOL-USD,80.66,81.92,1495603.8857565,78.36,82.16,80.64,80.66,2026-04-07 19:24:57.918170+00:00,2026-04-07T19:24:57.981858
SOL-USD,80.65,81.92,1495629.2134325,78.36,82.16,80.64,80.65,2026-04-07 19:24:57.926471+00:00,2026-04-07T19:24:57.986863
SOL-USD,80.65,81.92,1495630.33059245,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.083869+00:00,2026-04-07T19:24:58.133894
SOL-USD,80.65,81.92,1495631.98303386,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.087494+00:00,2026-04-07T19:24:58.140983
SOL-USD,80.65,81.92,1495632.63512128,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.088492+00:00,2026-04-07T19:24:58.151487
SOL-USD,80.65,81.92,1495634.57599847,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.091939+00:00,2026-04-07T19:24:58.157113
SOL-USD,80.65,81.92,1495635.27681063,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.094701+00:00,2026-04-07T19:24:58.165627
BTC-USD,68592.66,69727.98,7965.61932902,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:58.101620+00:00,2026-04-07T19:24:58.175145
ETH-USD,2095.92,2144.29,192381.93273843,2059.82,2155.73,2095.91,2095.92,2026-04-07 19:24:58.131454+00:00,2026-04-07T19:24:58.182798
BTC-USD,68592.67,69727.98,7965.61961775,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:58.189454+00:00,2026-04-07T19:24:58.244818
SOL-USD,80.65,81.92,1495636.06377223,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.196227+00:00,2026-04-07T19:24:58.248347
SOL-USD,80.65,81.92,1495636.75654781,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.197309+00:00,2026-04-07T19:24:58.252010
SOL-USD,80.65,81.92,1495640.33773228,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.198341+00:00,2026-04-07T19:24:58.254748
SOL-USD,80.65,81.92,1495642.53742216,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.198341+00:00,2026-04-07T19:24:58.257956
SOL-USD,80.65,81.92,1495643.2760756,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.201391+00:00,2026-04-07T19:24:58.260390
SOL-USD,80.65,81.92,1495644.19707436,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.203341+00:00,2026-04-07T19:24:58.265162
SOL-USD,80.65,81.92,1495645.32399376,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.206299+00:00,2026-04-07T19:24:58.267941
SOL-USD,80.65,81.92,1495645.97595657,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.207439+00:00,2026-04-07T19:24:58.270956
BTC-USD,68592.67,69727.98,7965.62103475,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:58.250157+00:00,2026-04-07T19:24:58.304408
SOL-USD,80.66,81.92,1495646.15415903,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.267998+00:00,2026-04-07T19:24:58.320129
